timestamp,cpu_usage,cpu_power_draw,dram_usage,dram_power_draw,gpu_name,gpu_index,gpu_power_draw,utilization_gpu,utilization_memory,pcie_link_gen_current,pcie_link_width_current,temperature_gpu,temperature_memory,clocks_gr,clocks_mem,clocks_sm
2025-03-29 17:52:22.9,100.00 %,545.33 W,13.10 %,43.79 W,NVIDIA RTX A6000,0,54.05 W,0 %,0 %,4,4,46 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:52:22.9,100.00 %,545.33 W,13.10 %,43.79 W,NVIDIA RTX A6000,1,33.90 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:22.9,100.00 %,545.33 W,13.10 %,43.79 W,NVIDIA RTX A6000,2,8.24 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:22.9,100.00 %,545.33 W,13.10 %,43.79 W,NVIDIA RTX A6000,3,8.09 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:27.9,100.00 %,420.10 W,13.10 %,33.57 W,NVIDIA RTX A6000,0,54.16 W,0 %,0 %,4,4,46 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:52:27.9,100.00 %,420.10 W,13.10 %,33.57 W,NVIDIA RTX A6000,1,34.09 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:27.9,100.00 %,420.10 W,13.10 %,33.57 W,NVIDIA RTX A6000,2,9.10 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:27.9,100.00 %,420.10 W,13.10 %,33.57 W,NVIDIA RTX A6000,3,8.54 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:32.9,100.00 %,441.16 W,13.10 %,34.80 W,NVIDIA RTX A6000,0,54.22 W,0 %,0 %,4,4,46 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:52:32.9,100.00 %,441.16 W,13.10 %,34.80 W,NVIDIA RTX A6000,1,34.03 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:32.9,100.00 %,441.16 W,13.10 %,34.80 W,NVIDIA RTX A6000,2,8.09 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:32.9,100.00 %,441.16 W,13.10 %,34.80 W,NVIDIA RTX A6000,3,8.02 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:37.9,100.00 %,505.21 W,13.10 %,31.79 W,NVIDIA RTX A6000,0,54.29 W,0 %,0 %,4,4,46 °C,N/A,1380 MHz,7600 MHz,1380 MHz
2025-03-29 17:52:37.9,100.00 %,505.21 W,13.10 %,31.79 W,NVIDIA RTX A6000,1,34.07 W,0 %,0 %,2,4,36 °C,N/A,1425 MHz,810 MHz,1425 MHz
2025-03-29 17:52:37.9,100.00 %,505.21 W,13.10 %,31.79 W,NVIDIA RTX A6000,2,8.95 W,0 %,0 %,1,4,30 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:37.9,100.00 %,505.21 W,13.10 %,31.79 W,NVIDIA RTX A6000,3,8.69 W,0 %,0 %,1,4,28 °C,N/A,0 MHz,405 MHz,0 MHz
2025-03-29 17:52:42.9,100.00 %,457.76 W,13.10 %,34.08 W,NVIDIA RTX A6000,0,54.12 W,0 %,0 %,4,4,46 °C,N/A,1380 MHz,7600 MHz,1380 MHz
